Text,Sentiment
"I love this product, it is amazing!",1
This is the worst customer service ever.,0
The product works okay but could be better.,0
Absolutely fantastic experience!,1
I am very disappointed with the quality.,0
It is a decent purchase for the price.,1
The delivery was late and the packaging was damaged.,0
"Highly recommended, top quality!",1
Not worth the money.,0
"Exceeded my expectations, very happy.",1
"I love this product, it is amazing!",1
This is the worst customer service ever.,0
The product works okay but could be better.,0
Absolutely fantastic experience!,1
I am very disappointed with the quality.,0
It is a decent purchase for the price.,1
The delivery was late and the packaging was damaged.,0
"Highly recommended, top quality!",1
Not worth the money.,0
"Exceeded my expectations, very happy.",1
"I love this product, it is amazing!",1
This is the worst customer service ever.,0
The product works okay but could be better.,0
Absolutely fantastic experience!,1
I am very disappointed with the quality.,0
It is a decent purchase for the price.,1
The delivery was late and the packaging was damaged.,0
"Highly recommended, top quality!",1
Not worth the money.,0
"Exceeded my expectations, very happy.",1
"I love this product, it is amazing!",1
This is the worst customer service ever.,0
The product works okay but could be better.,0
Absolutely fantastic experience!,1
I am very disappointed with the quality.,0
It is a decent purchase for the price.,1
The delivery was late and the packaging was damaged.,0
"Highly recommended, top quality!",1
Not worth the money.,0
"Exceeded my expectations, very happy.",1
"I love this product, it is amazing!",1
This is the worst customer service ever.,0
The product works okay but could be better.,0
Absolutely fantastic experience!,1
I am very disappointed with the quality.,0
It is a decent purchase for the price.,1
The delivery was late and the packaging was damaged.,0
"Highly recommended, top quality!",1
Not worth the money.,0
"Exceeded my expectations, very happy.",1
"I love this product, it is amazing!",1
This is the worst customer service ever.,0
The product works okay but could be better.,0
Absolutely fantastic experience!,1
I am very disappointed with the quality.,0
It is a decent purchase for the price.,1
The delivery was late and the packaging was damaged.,0
"Highly recommended, top quality!",1
Not worth the money.,0
"Exceeded my expectations, very happy.",1
"I love this product, it is amazing!",1
This is the worst customer service ever.,0
The product works okay but could be better.,0
Absolutely fantastic experience!,1
I am very disappointed with the quality.,0
It is a decent purchase for the price.,1
The delivery was late and the packaging was damaged.,0
"Highly recommended, top quality!",1
Not worth the money.,0
"Exceeded my expectations, very happy.",1
"I love this product, it is amazing!",1
This is the worst customer service ever.,0
The product works okay but could be better.,0
Absolutely fantastic experience!,1
I am very disappointed with the quality.,0
It is a decent purchase for the price.,1
The delivery was late and the packaging was damaged.,0
"Highly recommended, top quality!",1
Not worth the money.,0
"Exceeded my expectations, very happy.",1
"I love this product, it is amazing!",1
This is the worst customer service ever.,0
The product works okay but could be better.,0
Absolutely fantastic experience!,1
I am very disappointed with the quality.,0
It is a decent purchase for the price.,1
The delivery was late and the packaging was damaged.,0
"Highly recommended, top quality!",1
Not worth the money.,0
"Exceeded my expectations, very happy.",1
"I love this product, it is amazing!",1
This is the worst customer service ever.,0
The product works okay but could be better.,0
Absolutely fantastic experience!,1
I am very disappointed with the quality.,0
It is a decent purchase for the price.,1
The delivery was late and the packaging was damaged.,0
"Highly recommended, top quality!",1
Not worth the money.,0
"Exceeded my expectations, very happy.",1
